name,genre
 Lucie Silvas ,Singer/Songwriter
 Michael McDonald ,Soul
 Marina and The Diamonds ,Indie Rock
 Marty Brown ,Traditional Country
 Matt and Kim ,Rock
 Metro Station ,Alternative
 Of Mice & Men ,Metal
 Of Monsters and Men ,Alternative
 Midnight Red ,Teen Pop
 Mudvayne ,Rock
 NEEDTOBREATHE ,Alternative
 Neil Young ,Alternative
 Naughty Boy ,Pop
 Naughty by Nature ,Hip-Hop/Rap
 New Politics ,Alternative
 Next 2 The Tracks ,Outlaw Country
 Paolo Nutini ,Pop
 Patty Griffin ,Singer/Songwriter
 Public Enemy ,Hip-Hop/Rap
 Robyn ,Pop
 Samuel Christian ,World
 Roy D. Mercer ,Country
 Rush ,Alternative
 Saint Motel ,Indie Rock
 Sherrié Austin ,Country
 Stevie Nicks ,Rock
 Steve Forbert ,Blues/Folk
 Sublime ,Alternative
 Suicidal Tendencies ,Punk
 Tegan and Sara ,Pop/Rock
 The Neighbourhood ,Alternative
 The Offspring ,Punk
 The Ready Set ,Pop
 The Used ,Alternative
 The Who ,Alternative
 Tommy Lee ,Rock
 Trapt ,Rock
 Zee Avi ,Alternative
 Youssou N'Dour ,World/International
 The Vacations ,Indie Rock
 Josh Thompson ,Country
 If Birds Could Fly ,Americana
 Striking Matches ,Country
 Sebastian Mikael ,R&B/Soul
 Robert DeLong ,Alternative
 Foxy Shazam ,Rock
 Kat Dahlia ,Rap
 vsopilla ,Hip-Hop/Rap
 Kylie Morgan ,Country
 AminIzrael. ,Hip-Hop
 A$AP Ferg ,Rap
 Milan Christopher ,Traditional Pop
 Lil Swirl ,Hip-Hop/Rap
 The Mugshots ,Rock
 wizdom Phoenix ,R&B/Soul
 P Tizi ,Hip-Hop/Rap
 The Bros. Landreth ,Americana
 Mayden HollyWood ,Pop/Rock
 WishTheVoice ,Electronica
 Eclipxica ,Pop/Rock
 A Fine Frenzy ,Rock
 .38 Special ,Classic Rock
 Act As If ,Alternative
 Airbourne ,Rock
 Alejandro Sanz ,World/International
 Anastácia ,Pop
 Allen Thompson ,Alternative Country
 Alexz Johnson ,Singer/Songwriter
 Aloe Blacc ,Soul
 Alter Bridge ,Rock
 Annie Lennox ,Pop
 Apocalyptica ,Modern Composition
 Arctic Monkeys ,Alternative
 Arrested Development ,Hip-Hop
 Augustana ,Roots Rock
 B. Howard ,Pop
 Bastille ,Alternative
 Barenaked Ladies ,Adult Alternative
 Beck ,Alternative
 Betty Wright ,R&B/Soul
 Big SMO ,Country
 Black Rebel Motorcycle Club ,Alternative
 Blondie ,New Wave
 Bohemia The Punjabi Rapper ,Hip-Hop/Rap
 Borgore ,Dance
 Bottleneck ,Alternative Country
